2017-03-16T15:20:08.496734;217.19.209.163;ab402b99cff34312a134e63efc52644f;[3];OK (942871)
2017-03-16T15:20:12.665631;217.19.209.163;8b788ecfa9c44a38b09962c373a9d02f;[3];OK (636631)
2017-03-16T15:20:16.969272;10.253.247.100;e61fbf8d54434242a5b0f5b6703ae9fb;[11];OK (655706)
2017-03-16T15:20:17.478023;10.253.79.187;38422ca5a9a244f596cdc155e855f573;[9];OK (598744)
2017-03-16T15:20:21.084739;10.254.28.131;46f9d5ad083e4f58a7e0b852f246ae7c;[2];OK (709177)
2017-03-16T15:20:22.538785;217.19.209.163;8a418a5ec07b4be8a56711071f465a69;[3];OK (697885)
2017-03-16T15:20:23.520322;217.19.209.163;8b788ecfa9c44a38b09962c373a9d02f;[3];DOUBLEVOTING (636631)
2017-03-16T15:20:26.587943;66.102.9.40;5bacd43a412d42718e856912fb8e06a7;[3];OK (757266)
2017-03-16T15:20:26.604510;10.253.77.221;93238a6e8f3f42ecbd5f1aa8a2987501;[3];OK (215757)
2017-03-16T15:20:30.070008;10.253.50.157;6fa89c07b6a440e6a519ccb818dfb6e2;[3];OK (675443)
2017-03-16T15:20:31.600400;10.253.225.226;5f9a31058aa74d76936a95cdd18648d0;[3];OK (108958)
2017-03-16T15:20:32.317834;217.19.208.102;00159dcab8024f5b9eddc83be50c20df;[3];OK (679573)
2017-03-16T15:20:34.507622;10.253.247.100;e61fbf8d54434242a5b0f5b6703ae9fb;[11];OK (545738)
2017-03-16T15:20:34.747970;10.253.0.58;b9dd69d610434b35b851ff6bbb7cfdae;[4];OK (799185)
2017-03-16T15:20:35.161448;217.19.208.104;4956f04e14c94b6ba5c841c4d9bcda84;[2];OK (705739)
2017-03-16T15:20:35.445150;217.19.208.98;ac0c98744ff54d9e8d70a2a59b65075e;[3];OK (531329)
2017-03-16T15:20:36.950950;10.253.17.35;402951af6a0f46edbceff42938c688fb;[7];NOCODE (371456)
2017-03-16T15:20:38.292370;10.253.77.221;93238a6e8f3f42ecbd5f1aa8a2987501;[3];DOUBLEVOTING (215757)
2017-03-16T15:20:40.330057;10.254.17.162;5fd7816469cc49a58cfbe04fffe798bb;[12];OK (046604)
2017-03-16T15:20:40.376043;10.253.13.24;e62806f166f645c59b64027012b9d448;[3];OK (384292)
2017-03-16T15:20:41.731960;217.19.209.163;8a418a5ec07b4be8a56711071f465a69;[3];OK (232761)
2017-03-16T15:20:41.801989;10.253.79.187;38422ca5a9a244f596cdc155e855f573;[9];OK (457793)
2017-03-16T15:20:43.969154;217.19.209.163;956d33fd1f924f86894da9aa51d5a04b;[3];OK (276226)
2017-03-16T15:20:44.354140;10.253.0.34;86194913d5664cd982116e91767aeb1a;[11];OK (306252)
2017-03-16T15:20:44.443811;217.19.208.102;4f78c9dcfaa6444ba0f0832db54e9b57;[4];OK (341003)
2017-03-16T15:20:44.759002;10.253.252.209;ba3578c628bb4fb8b746f10bac3e664e;[11];OK (043091)
2017-03-16T15:20:45.389193;10.254.39.69;3dc6651b7e6c4b01b2009d97f08f2bb2;[4];OK (154445)
2017-03-16T15:20:45.395275;217.19.208.102;4f78c9dcfaa6444ba0f0832db54e9b57;[4];DOUBLEVOTING (341003)
2017-03-16T15:20:45.824985;10.254.26.30;c71de8c9a0e14dbcbdc6533747918f7c;[9];OK (815521)
2017-03-16T15:20:46.095326;10.253.0.58;b9dd69d610434b35b851ff6bbb7cfdae;[4];DOUBLEVOTING (799185)
2017-03-16T15:20:46.647978;10.254.39.69;3dc6651b7e6c4b01b2009d97f08f2bb2;[4];DOUBLEVOTING (154445)
2017-03-16T15:20:46.690327;10.253.77.221;93238a6e8f3f42ecbd5f1aa8a2987501;[3];DOUBLEVOTING (215757)
2017-03-16T15:20:48.587231;10.253.188.24;2552984dfbda43edb4cab236ac20f2a0;[3];OK (921565)
